type,id,name,gender,person,description,prenom,02_genre
way,28538018,Rue Adrienne Bolland,F,,,adrienne,f
way,28538022,Rue Adrienne Bolland,F,,,adrienne,f
way,87340913,Rue Adrienne Bolland,F,,,adrienne,f
way,87340917,Rue Adrienne Bolland,F,,,adrienne,f
way,225409274,Rue Adrienne Bolland,F,,,adrienne,f
way,225409276,Rue Adrienne Bolland,F,,,adrienne,f
way,226046364,Rue Alice Bron,F,,,alice,f
way,103455264,Place Camille Dessart,F,,,camille,"f,m"
way,259181093,Place Camille Dessart,F,,,camille,"f,m"
way,117617158,Rue Camille Albert,F,,,camille,"f,m"
way,839334545,Rue Camille Auquit,F,,,camille,"f,m"
way,68279393,Rue Camille Caréna,F,,,camille,"f,m"
way,115888793,Rue Camille Desy,F,,,camille,"f,m"
way,115888796,Rue Camille Desy,F,,,camille,"f,m"
way,88235506,Rue Camille Lebon,F,,,camille,"f,m"
way,88235513,Rue Camille Lebon,F,,,camille,"f,m"
way,88235558,Rue Camille Lebon,F,,,camille,"f,m"
way,315768374,Rue Camille Thirionet,F,,,camille,"f,m"
way,63883119,Rue Estelle Chaudron,F,,,estelle,f
way,88270381,Rue Eugénie Pirson-Lothier,F,,,eugénie,f
way,164764910,Rue Fernande Volral,F,,,fernande,f
way,91245200,Rue Françoise Dolto,F,,,françoise,f
way,265848068,Rue Gabrielle Petit,F,,,gabrielle,f
way,88141641,Rue Germaine Dewandre,F,,,germaine,f
way,108167196,Rue Hortense Hocquemiller,F,,,hortense,f
way,474541414,Rue Isabelle Gatti de Gamond,F,,,isabelle,f
way,89034275,Rue Jeannine Haudin,F,,,jeannine,f
way,84973413,Rue Louise Michel,F,,,louise,f
way,84973416,Rue Louise Michel,F,,,louise,f
way,115634842,Rue Louise Michel,F,,,louise,f
way,103497736,Rue Lucie Dejardin,F,,,lucie,f
way,89029930,Rue Marceline Neys,F,,,marceline,f
way,89034279,Rue Marceline Neys,F,,,marceline,f
way,827281779,Rue Margot de Hainaut,F,,,margot,f
way,67720816,Rue Margot du Hainaut,F,,,margot,f
way,91245205,Ru Marguerite Yourcenar,F,,,marguerite,f
way,65572669,Rue Marguerite Depasse,F,,,marguerite,f
way,225237707,Rue Marguerite Depasse,F,,,marguerite,f
way,971348647,Rue Marguerite Depasse,F,,,marguerite,f
way,971348648,Rue Marguerite Depasse,F,,,marguerite,f
way,91245203,Rue Marguerite Yourcenar,F,,,marguerite,f
way,134160632,Rue Marguerite Yourcenar,F,,,marguerite,f
way,134160633,Rue Marguerite Yourcenar,F,,,marguerite,f
way,617210505,Rue Marguerite Yourcenar,F,,,marguerite,f
way,617210506,Rue Marguerite Yourcenar,F,,,marguerite,f
